,Date,Retweets,Replies,Likes,Volume,positive_score,negative_score,neutral_score,positive_percentage,negative_percentage,neutral_percentage,positive_count,negative_count,neutral_count,General_score,Open,Close
2016-01-26,2016-01-26,0.0,0.0,0.0,3,0.03480347804725164,0.2920694649219513,0.6731270452340444,0.0,0.3333333333333333,0.6666666666666666,0,1,2,-0.3333333333333333,172.7100067138672,172.1699981689453
2016-01-27,2016-01-27,0.625,0.0,0.625,8,0.16764785582199693,0.028308385401032823,0.8040437698364258,0.0,0.0,1.0,0,0,8,0.0,172.0500030517578,165.2899932861328
2016-01-28,2016-01-28,0.3333333333333333,0.1111111111111111,0.2222222222222222,9,0.03664998999900285,0.5353338888121976,0.42801610628763836,0.0,0.7777777777777778,0.2222222222222222,0,7,2,-0.7777777777777778,167.17999267578125,167.3000030517578
2016-01-29,2016-01-29,0.0,0.0,0.0,8,0.21743057575076813,0.22638303530402482,0.5561863926704973,0.125,0.25,0.625,1,2,5,-0.125,169.47000122070312,171.36000061035156
2016-02-01,2016-02-01,0.07142857142857142,0.0,0.14285714285714285,14,0.06523728902850828,0.11072486186666144,0.8240378477743694,0.0,0.14285714285714285,0.8571428571428571,0,2,12,-0.14285714285714285,169.63999938964844,175.75
2016-02-02,2016-02-02,0.0,0.14285714285714285,0.14285714285714285,7,0.07150748411991761,0.15868099193487847,0.769811537116766,0.0,0.14285714285714285,0.8571428571428571,0,1,6,-0.14285714285714285,173.82000732421875,172.0
2016-02-03,2016-02-03,0.0,0.0,0.0,7,0.06190758092062809,0.05650496775550494,0.8815874627658299,0.0,0.0,1.0,0,0,7,0.0,173.57000732421875,176.4499969482422
2016-02-04,2016-02-04,0.1111111111111111,0.2222222222222222,0.5555555555555556,9,0.25404294290476376,0.028718456522458087,0.7172386228210397,0.2222222222222222,0.0,0.7777777777777778,2,0,7,0.2222222222222222,178.22000122070312,170.5
2016-02-05,2016-02-05,0.1282051282051282,0.05128205128205128,0.15384615384615385,39,0.12450652132527185,0.3308855493982824,0.5446079349479614,0.07692307692307693,0.3076923076923077,0.6153846153846154,3,12,24,-0.23076923076923078,160.1999969482422,168.5399932861328
2016-02-08,2016-02-08,0.125,0.09375,0.25,32,0.2619985145283863,0.2886957683949731,0.44930570386350155,0.25,0.25,0.5,8,8,16,0.0,165.72999572753906,162.58999633789062
2016-02-09,2016-02-09,0.2727272727272727,0.2727272727272727,0.45454545454545453,11,0.05966323851184408,0.21711924409663136,0.7232175379652869,0.0,0.18181818181818182,0.8181818181818182,0,2,9,-0.18181818181818182,160.44000244140625,165.0399932861328
2016-02-10,2016-02-10,0.1388888888888889,0.027777777777777776,0.16666666666666666,36,0.17971358225784367,0.10368625121191144,0.7166001651850011,0.08333333333333333,0.05555555555555555,0.8611111111111112,3,2,31,0.027777777777777776,165.0800018310547,161.0800018310547
2016-02-11,2016-02-11,0.2222222222222222,0.05555555555555555,0.2222222222222222,18,0.11444416580100854,0.1585961672373944,0.7269596755504608,0.0,0.0,1.0,0,0,18,0.0,159.10000610351562,159.52999877929688
2016-02-12,2016-02-12,0.0,0.08333333333333333,0.08333333333333333,12,0.09935760637745257,0.12044049155277507,0.7802019026130438,0.0,0.08333333333333333,0.9166666666666666,0,1,11,-0.08333333333333333,161.85000610351562,167.75
2016-02-15,2016-02-15,0.0,0.0,0.058823529411764705,17,0.12432834725169573,0.08238747748820216,0.7932841602493735,0.058823529411764705,0.058823529411764705,0.8823529411764706,1,1,15,0.0,170.02999877929688,168.92999267578125
2016-02-16,2016-02-16,0.0,0.0,0.07692307692307693,13,0.057409459295181084,0.0233676393444721,0.919222905085637,0.0,0.0,1.0,0,0,13,0.0,170.02999877929688,168.92999267578125
2016-02-17,2016-02-17,0.1,0.2,0.3,10,0.07193907946348185,0.02199701806530354,0.9060639083385468,0.0,0.0,1.0,0,0,10,0.0,169.69000244140625,171.91000366210938
2016-02-18,2016-02-18,0.0,0.0,0.08333333333333333,12,0.12142863217741245,0.03283680067397649,0.8457345763842264,0.08333333333333333,0.0,0.9166666666666666,1,0,11,0.08333333333333333,171.52000427246094,171.94000244140625
2016-02-19,2016-02-19,0.26666666666666666,0.06666666666666667,0.0,15,0.16917575808862845,0.1786184479172031,0.652205799271663,0.13333333333333333,0.13333333333333333,0.7333333333333333,2,2,11,0.0,170.61000061035156,173.57000732421875
2016-02-22,2016-02-22,0.045454545454545456,0.0,0.0,22,0.22956896768036214,0.08049586068161506,0.6899351718920198,0.22727272727272727,0.045454545454545456,0.7272727272727273,5,1,16,0.18181818181818182,174.5,177.0500030517578
